cycle,range_bin,doppler_bin,output_hex
1148775000,24,22,ff7c02d9
1148785000,24,23,ff2ffcde
1148795000,24,24,007d04e7
1148805000,24,25,011aff29
1148815000,24,26,fe1cfdc6
1148825000,24,27,02bd0164
1148835000,24,28,fe4eff65
1148845000,24,29,0027ff76
1148855000,24,30,fff00106
1148865000,24,31,0052ff58
1153145000,25,0,0001005e
1153155000,25,1,fffaffc2
1153165000,25,2,ffdcffd9
1153175000,25,3,ff6d007b
1153185000,25,4,01c1ffb5
1153195000,25,5,ff07ffbf
1153205000,25,6,ff48009d
1153215000,25,7,0122fee8
1153225000,25,8,ff22010a
1153235000,25,9,ff20005c
1153245000,25,10,0167fefe
1153255000,25,11,fe680361
1153265000,25,12,0334fb5d
1153275000,25,13,fce40061
1153285000,25,14,02260127
1153295000,25,15,0281fdf7
1153305000,25,16,f8e7040a
1153315000,25,17,05c2fcca
1153325000,25,18,fa240347
1153335000,25,19,02fbfd4f
1153345000,25,20,00c7007f
1153355000,25,21,ffcb0153
1153365000,25,22,ffe8fe39
1153375000,25,23,ffe800c4
1153385000,25,24,017a01d6
1153395000,25,25,fec4ff2c
1153405000,25,26,fffdfec6
1153415000,25,27,0100ff89
1153425000,25,28,ff5801af
1153435000,25,29,ff2afeb9
1153445000,25,30,013e00e7
1153455000,25,31,ff95ff19
1157735000,26,0,ff93003b
1157745000,26,1,008afff8
1157755000,26,2,ff76ffff
1157765000,26,3,0042ffbc
1157775000,26,4,ff8f00d3
1157785000,26,5,0206ff71
1157795000,26,6,fe680053
1157805000,26,7,fe96ffb5
1157815000,26,8,01b1fec2
1157825000,26,9,01030334
1157835000,26,10,fec6fbd6
1157845000,26,11,001c0622
1157855000,26,12,fee6f7ee
1157865000,26,13,026b0559
1157875000,26,14,fc81fcaa
1157885000,26,15,039c02ea
1157895000,26,16,fe29fe79
1157905000,26,17,02e4027e
1157915000,26,18,fad8fda1
1157925000,26,19,013e01f0
1157935000,26,20,02dbfc0f
1157945000,26,21,fcce0253
1157955000,26,22,02b4020b
1157965000,26,23,0050fb57
1157975000,26,24,fce704e6
1157985000,26,25,0293fc52
1157995000,26,26,feac028e
1158005000,26,27,0080ff52
1158015000,26,28,feb4ff5c
1158025000,26,29,01e500c7
1158035000,26,30,ff4bffdc
1158045000,26,31,003aff9a
1162325000,27,0,ff87004d
1162335000,27,1,0025ffba
1162345000,27,2,ffce002c
1162355000,27,3,012d0046
1162365000,27,4,fea3008e
1162375000,27,5,022cfd74
1162385000,27,6,fdb40385
1162395000,27,7,000bfd8f
1162405000,27,8,001ffe82
1162415000,27,9,0234035c
1162425000,27,10,fcf1fce6
1162435000,27,11,022b0103
1162445000,27,12,fe1e00a6
1162455000,27,13,0333ff38
1162465000,27,14,fb94025c
1162475000,27,15,0283fd19
1162485000,27,16,fdfd02b3
1162495000,27,17,03b1fd52
1162505000,27,18,fe28ffa2
1162515000,27,19,fd5d02ae
1162525000,27,20,03f5fbfa
1162535000,27,21,fc6403c4
1162545000,27,22,02ba0069
1162555000,27,23,fe39fee1
1162565000,27,24,0069ff72
1162575000,27,25,00320078
1162585000,27,26,00d5012c
1162595000,27,27,ff7ffeb5
1162605000,27,28,ff9e0076
1162615000,27,29,0051ffa0
1162625000,27,30,ffe200de
1162635000,27,31,00b5ff3b
1166915000,28,0,ffe1001a
1166925000,28,1,ffc30041
1166935000,28,2,0032ffee
1166945000,28,3,009bff51
